restaurant_id,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche
xlJqe1gSZz9C2-87mRA8TA,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0
2QznyHGF0PuiYkrl5RU66A,9:0-18:0,9:0-18:0,9:0-21:0,9:0-18:0,9:0-21:0,9:0-21:0,9:0-18:0
qvBkj8tcLwv2QMF9jhH12A,0:0-0:0,7:0-21:0,7:0-21:0,7:0-21:0,7:0-22:0,7:0-22:0,7:0-15:0
Lfl9kppQhikig4xI3UdjOA,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-22:0
6EkolSf95HjdCl9jVdTM2g,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
U9FCFksABmJcS5Di22PspQ,0:0-0:0,11:0-21:0,11:0-22:0,11:0-22:0,11:0-0:0,11:0-18:0,10:0-21:0
fGbP45JCPckM0hA1O_l6Dw,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
5JNvfPfd6mcpwNoekzqBow,11:30-23:0,11:30-23:0,11:30-23:0,11:30-0:0,11:30-0:0,11:30-0:0,11:30-23:0
-Qkx7W0itbAApcG5lJuMFQ,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-0:0,11:0-0:0,11:0-23:0
XZbuPXdyA0ZtTu3AzqtQhg,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0
sOYsxYYFl03PhHmz_rBDZQ,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-3:0,11:0-3:0,10:0-2:0
T-eEjmbEeQ53ezioW_9vxQ,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0
g-aAe8SqZlZTnN3oA8mNlw,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,8:0-0:0,8:0-0:0
5gv6AqHXfi3gJV4fb432Vw,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0
TVLAvAFx0FqAkKGKHVjHpQ,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,10:0-18:0,10:0-18:0
wYfTZelP5Kv3Kls4J9bnDQ,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,8:0-22:0,9:0-21:0
0uEidTfcs-9GAMJXLvIYTw,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:30,11:0-22:30,12:0-22:0
HHvO4MgBFabsmlInou6viQ,10:0-16:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0
UijRV_R2aU8-V3aAx2ffxQ,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0
S3gVMHlrQoJPzM984vCeBg,6:0-19:0,6:0-19:0,6:0-19:0,6:0-19:0,6:0-19:0,7:0-20:0,7:0-20:0
YSaf1x4Ik6nH2GsIa2DCvg,11:30-21:0,11:30-0:0,11:30-0:0,11:30-0:0,11:30-0:0,16:0-0:0,16:0-0:0
lsMvf-DxBO3As2KgLHtbFw,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0
v1AE1LLWDOqe8ubOzqKADg,9:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0
Y-a5L1u8jAuoJLdh25UnQA,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
bUEc1ZDgfZPymHyUXEiiNg,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
meIf7JULcW1vyoeyVJyqsA,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,9:0-0:0,11:0-23:0
TgjB-wlAVzol6HoDpE8KYg,0:0-0:0,6:0-13:0,6:0-13:0,17:0-21:0,6:0-13:0,6:0-14:0,6:0-14:0
3glVZZh_vyZH1VvPU0307A,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0
YHXczxm4W3BkGT-z7vZBBw,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0
3Jq5LfJ5fmJ5KmuA6VHmzw,0:0-0:0,9:0-2:0,9:0-17:0,9:0-2:0,9:0-2:0,9:0-17:0,10:0-1:0
By4Suw6S-whbg51y_967BQ,8:0-0:0,8:0-0:0,8:0-0:0,8:0-1:0,8:0-3:0,11:0-3:0,11:0-0:0
s1w7weo4AffZXrz6oRcVww,8:0-21:0,8:0-21:0,8:0-21:0,8:0-21:0,8:0-21:0,9:0-21:0,10:0-19:0
jBh399TajGcH28Zo2J1pHw,0:0-0:0,11:0-22:0,11:0-22:0,11:0-22:0,10:0-22:0,11:0-23:0,11:0-17:0
aQXzyObFK-Frx1fM_hLhew,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,12:0-22:0
M_fzy4_KslKoXeyZ022Z8g,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-21:30
UV3oegQXN8tWtm8azFPZ2w,11:30-2:0,11:30-2:0,11:30-2:0,11:30-2:0,11:30-2:0,9:0-2:0,9:0-2:0
vQiRoQcRtkwpzb0-95Tnzg,11:0-1:0,11:0-1:0,11:0-1:0,11:0-1:0,11:0-1:0,11:0-1:0,11:0-1:0
IUe5DI53ZH2_U8B0PKJ5sw,9:0-23:0,9:0-23:0,9:0-23:0,9:0-23:0,9:0-23:0,9:0-23:0,9:0-23:0
n9BrA1zIwlbiP1hLAc24jg,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,11:0-22:0
wRmPV-RvcqcjeyUeOaJQCg,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,11:0-22:0,11:0-22:0
gHoP4eJimaMltfUlp6EP4Q,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:30,11:0-21:30,11:0-21:0
OmZ_Ub_0egPc6eDPD1OWSw,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-23:0
0BW6h-igJinzbqc-prYUaQ,0:0-0:0,11:30-23:0,11:30-23:0,11:30-23:0,11:30-23:0,17:0-23:0,16:0-22:0
5_2Lls-h_shbRGyUruLlTQ,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,12:0-20:0,12:0-20:0
j7Rgozl24WrmDeqFCCKwQg,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-0:0,11:0-0:0,11:0-23:0
Zbjl53pR2W0jMrGFPM0Ssw,6:30-22:0,6:30-22:0,6:30-22:0,6:30-22:0,6:30-22:0,6:30-22:0,6:30-21:0
qKys2eEhVt5A7NUYMn7o7Q,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-3:0,10:0-3:0,10:0-0:0
3OxQiVUgZBAoELGRCgkEZw,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,10:30-21:0,10:30-21:0
8olG8J91NG_QU92WHG5QfA,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0
OACjhgf8nnYGzFnOhA7uhg,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,11:0-2:0,11:0-2:0
rioQ_p2pILNbJ4Xp5jW6-Q,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,10:0-1:0,9:0-1:0,9:0-1:0
TOrphxql7UfJ77vXG4G4aQ,9:0-21:0,9:0-21:0,9:0-21:0,9:0-21:0,9:0-2:0,9:0-2:0,9:0-21:0
4fGGeKlUY3SwqLW4SH_QnQ,7:0-19:0,7:0-19:0,7:0-19:0,7:0-19:0,7:0-19:0,7:0-19:0,7:0-15:0
Ch-gb1W9g1zZyuPXpSBq0g,11:30-19:30,11:30-19:30,11:30-19:30,11:30-19:30,11:30-19:30,11:30-19:30,11:30-18:30
8QfDxSuHkXA-sv5wcfP4Zg,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,7:0-17:0
fYLCKglfKHjgzcOeo4ZDaw,10:30-21:0,10:30-21:0,10:30-21:0,10:30-21:0,10:30-21:30,10:30-21:30,11:0-20:0
ewvBhAgfJi43aZmWCd3Zag,0:0-0:0,8:0-16:0,8:0-16:0,8:0-16:0,8:0-16:0,8:0-16:0,8:0-14:0
H_ngMvvTOse6N5scXHDZdQ,11:0-1:0,11:0-1:0,11:0-1:0,11:0-1:0,11:0-2:0,11:0-2:0,11:0-0:0
zwNC-Ow4eIMan2__bS9-rg,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-0:0,11:0-0:0,11:0-22:0
w5CSi-An5meLnxjKSFn0wQ,11:0-4:0,11:0-4:0,11:0-4:0,11:0-4:0,11:0-4:0,11:0-4:0,11:0-4:0
XSiqtcVEsP6dLOL7ZA9OxA,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0
24Td_CQH1bonWKff1rt2vg,6:30-14:30,6:30-14:30,6:30-14:30,6:30-14:30,6:30-14:30,6:30-14:30,6:30-14:30
Tz3lmsFCS1e8rUkXuHW9mw,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
CiGvnoHtvvzra2RB23lNpQ,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0,8:0-1:0,8:0-1:0,8:0-0:0
X46mymnTc04uhlXPqmq7qw,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-18:0
lOQPeguczAueJnLmDUTfGg,0:0-0:0,10:0-22:0,10:0-22:0,10:0-23:0,10:0-23:0,9:0-23:0,9:0-21:0
pomGBqfbxcqPv14c3XH-ZQ,11:0-20:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-22:0,11:0-22:0,10:0-21:0
FML0YqZ7dLBBC3Suap4_4Q,17:0-2:0,17:0-2:0,17:0-2:0,17:0-2:0,12:0-2:0,12:0-2:0,12:0-2:0
v1M2DI3sATaUkHfZEuDStw,10:30-22:30,10:30-22:30,10:30-22:30,10:30-22:30,10:30-22:30,10:30-22:30,10:30-22:30
THcAGc-Fb8gqmA1V-KvFkw,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0
dWk0mbhj79pK3WBp5oLtpw,8:0-3:0,8:0-3:0,8:0-3:0,8:0-3:0,8:0-3:0,9:0-3:0,9:0-3:0
mvLdgkwBzqllHWHwS-ZZgQ,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,12:0-21:0
-jEyZSptICvvaNhuur9rUg,6:30-13:0,6:30-13:0,6:30-13:0,6:30-13:0,6:30-13:0,6:30-13:0,6:30-13:0
PLVJCN2p1MIkeDzIbAx9kA,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
mFQTnqCaJwhK7OAu3u4A5g,11:30-23:0,11:30-22:30,11:30-22:30,11:30-22:30,11:30-23:30,12:0-23:30,16:0-22:30
hgeXEGD9lRX4ohj7afSJnw,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0
yz3JQk5Lqbin8mtNfDcy_w,16:0-23:0,16:0-23:0,16:0-23:0,16:0-23:0,16:0-0:0,16:0-0:0,12:0-20:0
PSRZaGGxXmOmabL2si8pKw,16:0-22:0,16:0-22:0,16:0-22:0,16:0-22:0,11:0-22:30,11:0-22:30,11:0-21:0
87I8ba2FKYKeXyAhiC6cLg,0:0-0:0,11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:0,12:0-21:0,12:0-20:0
Yr_w9lakJrKMyEG_hI6zbA,10:30-22:0,10:30-22:0,10:30-22:0,10:30-22:0,10:30-22:30,10:30-22:30,10:30-21:0
8USUyIeN39rurnqCn5cA0w,9:0-21:0,9:0-21:0,9:0-21:0,9:0-21:0,9:0-22:0,9:0-22:0,9:0-21:0
-0tgMGl7D9B10YjSN2ujLA,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,10:0-2:0,10:0-2:0
B70iTJjcPkuYn8ouUewWgw,11:30-22:0,11:30-22:0,11:30-22:0,11:30-23:0,11:30-1:0,11:0-1:0,11:0-22:0
XMMLRvV4IMxIGyc4H37LxA,0:0-0:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-22:0,10:0-22:0,10:0-21:0
nwr-HNLERXNh31LQp6fN-A,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
j2w6wlRmlaZaaErQus8ElQ,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0
Nq0UHjD_cKW9UbIJplQf_g,11:0-20:0,9:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0
dFmaYj3_cZpmEaL4WSOkPg,11:0-3:0,11:0-3:0,11:0-3:0,11:0-3:0,11:0-6:0,11:0-6:0,11:0-3:0
d-NDnFSfwUZ2wf4aDBic5Q,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0
hPUd4f1egKtHCRlsieH3Vg,7:0-20:0,7:0-20:0,7:0-20:0,7:0-20:0,7:0-20:0,8:0-19:0,8:30-19:0
KTjfQxsQDKWP0dWXBCyXuA,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-22:0,11:0-22:0
ik9VvawL-BeAqlxTI1leew,11:30-22:30,11:30-22:30,11:30-22:30,11:30-22:30,11:30-23:0,11:30-23:0,12:0-22:0
78iP9YpLaDKeiF6OB7dIzQ,10:0-22:30,10:0-22:30,10:0-22:30,10:0-22:30,10:0-23:30,10:0-23:30,10:0-22:30
9sbXPpRC_wDhCsp7qG2PDw,11:0-6:0,11:0-6:0,11:0-6:0,11:0-6:0,11:0-6:0,11:0-6:0,11:0-6:0
Mwl79jLlxPQabA3yiSPz0A,8:0-20:0,8:0-20:0,8:0-20:0,8:0-20:0,8:0-20:0,8:0-20:0,8:0-20:0
WfB_SsYeKy83QQsqAAyGVQ,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0
G8qvbhfbCyMAeZzYrbmZxA,18:0-21:0,18:0-21:0,18:0-21:0,18:0-21:0,18:0-21:0,11:0-21:0,11:0-21:0
l_hx2Yb9SIr1TzHHJpJ_xw,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,11:0-20:0
QfdcFqAft-M7KSSQZwJ20g,9:0-20:0,9:0-20:0,9:0-20:0,9:0-20:0,9:0-20:0,10:0-20:0,10:0-20:0
onhURB5hb6tKukQNPcBADw,9:0-23:0,9:0-23:0,9:0-23:0,9:0-23:0,9:0-0:0,9:0-0:0,10:0-23:0
4Jscimulh38Rq2hOgjb2Hg,0:0-0:0,7:0-20:0,7:0-20:0,7:0-20:0,7:0-20:0,8:0-19:0,8:0-19:0
hEcn9k6ONd5n2mq0lB2aew,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,9:0-22:0
DcF162waTQvZd-G0G_J4wQ,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-0:0,10:0-0:0,10:0-0:0
v91eTDokcNCHzRvmamWVog,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0
SK5PY0BnFuG2pQs5dfXyiw,10:30-1:0,10:30-1:0,10:30-1:0,10:30-1:0,10:30-1:0,10:30-1:0,10:30-1:0
mhDG_wtuyTDr-c0rgfEMpQ,10:0-3:0,10:0-3:0,10:0-3:0,10:0-3:0,10:0-3:0,10:0-3:0,10:0-3:0
poX-2lODvtmkR6pve8FXFA,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-0:0,10:0-0:0,10:0-23:0
4v9nhZ5h-KScIsG7uXjfzg,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
cHAhW7XJ2no_qzc46HpohQ,6:0-6:0,6:0-6:0,6:0-6:0,6:0-6:0,6:0-6:0,6:0-6:0,6:0-6:0
C3PVq7UpeHd6nz1_e-AtkA,11:30-23:0,11:30-23:0,11:30-23:0,11:30-0:0,11:30-2:0,10:30-2:0,10:30-23:0
-Z358O0-8eH0sgSjKINvMA,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-18:0
6fPQJq4f_yiq1NHn0fd11Q,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0
pofDmHoIsdvPcSKzb2iMag,9:0-22:30,9:0-22:30,9:0-22:30,9:0-22:30,9:0-22:30,9:0-22:30,9:0-22:30
J-vIgY37hcIE9XAQDx2a0Q,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0
rOKEgdzmhzT99Ob_OmPE0Q,0:0-0:0,11:0-0:30,11:0-0:30,11:0-0:30,11:0-2:0,11:0-17:30,11:0-17:30
BfIEzYsyZN4nfoLKlSjbwQ,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-22:0,10:0-22:0,10:0-20:30
Z5CB1ohc5cWdPnWFCBCOHA,5:0-23:0,5:0-23:0,5:0-23:0,5:0-23:0,5:0-1:0,5:30-1:0,5:30-23:0
LiBnff-ZuzW16zIvZgFOfQ,6:0-21:0,6:0-21:0,6:0-21:0,6:0-21:0,6:0-21:0,7:0-21:0,6:0-19:0
tisVBZM6OFh1ih4x6rGtDw,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0,8:0-0:0
fSBhe0A6Dfa8JCYccfpMog,6:0-14:0,6:0-14:0,6:0-14:0,6:0-14:0,6:0-14:0,6:0-12:0,6:0-12:0
Xja69DDoUqbPwFOSB3_Ckw,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-15:0,21:0-0:30,10:0-21:0
DO32vGtv3p3u7WBPiNoQHQ,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0
F2L2f-ITjnHlqKRFQVFsVg,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,6:0-2:0,7:0-2:0,7:0-0:0
VR2LTEsJByan97fcYRkl5w,9:0-21:0,9:0-21:0,9:0-21:0,9:0-21:0,9:0-22:0,9:0-22:0,9:0-21:0
EiO5lrozazxIaqOnUvzCag,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-1:0,10:0-1:0,10:0-0:0
N5mcKKdcmwirw1bFhE80Sw,0:0-0:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-0:0,10:0-0:0,10:0-22:0
APyqRwSZ5g-FRWxDl7YuEg,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
w4yq1IRk0DHQE995giqjGg,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,11:0-22:0
dj6nbGIqguJDXgz49nmFBw,10:30-23:0,10:30-23:0,10:30-23:0,10:30-23:0,10:30-0:0,10:30-0:0,10:30-23:0
BwBU-f-oiJXbyYaVrJAuFw,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:30-21:0,9:0-21:0,10:0-21:0
W6HgKXp-gXozKjOqGqIOXg,11:30-1:0,11:30-1:0,11:30-1:0,11:30-2:0,11:30-2:0,11:30-2:0,11:30-23:0
wqFkAsxYPA5tcdSkYMtrrw,6:30-21:0,6:30-21:0,6:30-21:0,6:30-21:0,6:30-21:0,8:0-20:0,8:0-20:0
G5or_Fra4-6IYOVlm_dI2Q,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-4:0,11:0-4:0,11:0-2:0
n0xipiBLtvEu4Zd3a6KM6Q,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0
khxjYMwb_V8UovvwPVhysw,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,11:0-22:0,11:0-22:0,12:0-21:30
wK1SMAzIpHh-KYbrs7m0nA,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,12:0-20:0
RVEmagXK4BzWp8Qws25PDw,10:30-1:0,10:30-1:0,10:30-1:0,10:30-1:0,10:30-1:0,10:30-1:0,10:30-1:0
yW19YczqSrYmWNsG4A6P1g,9:0-21:0,9:0-21:0,9:0-21:0,9:0-21:0,9:0-21:0,9:0-20:0,10:0-18:0
HPLB1Tr8ZB5UkD-2umKPdA,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-0:0,11:0-0:0,9:0-22:0
rLX33sjOL3n4g_VqLpJZWA,9:30-23:0,9:30-23:0,9:30-23:0,9:30-23:0,9:30-23:0,9:30-23:0,9:30-23:0
5Mxg20QE52Bf4KwsewjsNA,11:0-23:0,11:0-23:0,11:0-23:0,11:0-1:0,11:0-2:0,11:0-2:0,11:0-23:0
fVJszMsossyPFYEgw1dQ0Q,9:0-0:0,9:0-0:0,9:0-0:0,9:0-0:0,9:0-0:0,9:0-0:0,9:0-0:0
Y_IdXaaFzRr13kai9vfqgQ,0:0-0:0,8:0-16:0,8:0-16:0,8:0-16:0,8:0-16:0,8:0-16:0,8:0-16:0
UaL6yRGSv9fYCyn2DJLu8w,8:0-20:0,8:0-20:0,8:0-20:0,8:0-20:0,8:0-20:0,9:0-20:0,9:0-20:0
C_chktl5jFeRqu1C0rmScA,11:0-22:30,11:0-22:30,11:0-22:30,11:0-22:30,11:0-22:30,11:0-22:30,11:0-22:30
l8k4gOEkfoLKq0mPVWHWGg,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-0:0,9:0-0:0,9:0-22:0
AakkkTuGZA2KBodKi2_u8A,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0
45513UgSlMqWV_yAPVkXrg,11:0-23:0,11:0-23:0,11:0-23:0,11:0-0:0,11:0-2:0,11:0-2:0,11:0-23:0
XX4yIO_sWk6VA9gPPZL5_Q,14:0-0:0,14:0-0:0,14:0-0:0,14:0-0:0,14:0-0:0,14:0-0:0,14:0-0:0
RMG_Sp9tVZ-j3WfQoxxbeg,11:30-22:0,11:30-22:0,11:30-22:0,11:30-23:0,11:30-23:0,12:0-23:0,12:0-22:0
xkc_MfxUcSuRdQnmSvF1IA,8:30-21:0,8:30-21:0,8:30-21:0,8:30-21:0,8:30-21:0,8:30-20:30,8:30-20:30
PPCEx65Lm121Hw5yQhM_Zw,0:0-0:0,11:0-1:0,11:0-1:0,11:0-2:0,11:0-2:0,10:30-2:0,10:30-1:0
qKUbPdzNQpdSP2mhk3tREg,12:0-17:0,11:30-20:30,11:30-20:30,11:30-20:30,11:30-21:30,11:30-18:0,11:30-20:30
CCVh8YKdN3c-WgqEbzya3A,6:0-22:0,6:0-22:0,6:0-22:0,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0
X-WXPGYuuknAjZkpYGeRiw,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
O1p3opN9vH2ACTWQ5dP5lA,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
ZogV_sPyn2FSb6nrc3eIng,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-3:0,11:0-3:0,11:0-23:0
aMJsL18mPiZKpDgDid1ssg,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-1:0,11:0-1:0,11:0-23:0
kM9NJit_zAgadyuxIwzwiA,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,12:0-20:0,12:0-20:0
LOyGm5Q6zdTHdntLBUyBrg,9:0-1:0,9:0-1:0,9:0-1:0,9:0-1:0,9:0-1:0,9:0-1:0,9:0-1:0
JDZ6_yycNQFTpUZzLIKHUg,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
kvyHTYU1Qlhobr-p7C_pgQ,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0
5j7BnXXvlS69uLVHrY9Upw,9:30-23:0,9:30-23:0,9:30-23:0,9:30-23:0,9:30-23:0,9:30-23:0,9:30-23:0
m02H7wS7LEN7ast4GcPtAA,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-1:0,11:0-1:0,11:0-0:0
T4iG8nhlu3uVnRzRn6660w,12:0-2:0,12:0-2:0,12:0-2:0,12:0-2:0,12:0-2:0,12:0-2:0,12:0-2:0
hqvqLihniz0ynit9c36JHg,11:0-3:0,11:0-3:0,11:0-3:0,11:0-3:0,11:0-3:0,11:0-3:0,11:0-3:0
sd7Ci7gTC6Ia1cAIPcmDGw,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
XaUiroJrP634SIx8O8xk9Q,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-22:0,11:0-22:0,11:0-21:0
AL5YzikrmxwcBzBNLGO7Jw,0:0-0:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-22:0,11:0-22:0,11:0-21:0
iDT6FpWCjJXSHUMFg94UEw,10:30-22:0,10:30-22:0,10:30-22:0,10:30-22:0,10:30-22:30,10:30-22:30,10:30-22:0
WHHmwtzZoQbm2v9DbMlgFA,8:0-15:0,8:0-15:0,8:0-15:0,8:0-15:0,8:0-15:0,8:0-15:0,8:0-15:0
EpHPxId6RNVHbYLqBGQiSQ,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-22:0
adfELKOWudmET4s_yZ68CQ,11:30-0:0,11:30-0:0,11:30-0:0,11:30-0:0,11:30-0:0,11:30-0:0,11:30-0:0
UsKmYp0m8VYWM96tkGm2vQ,16:0-23:0,16:0-23:0,16:0-23:0,16:0-23:0,16:0-23:0,16:0-23:0,16:0-23:0
5TeA1dyLR7MIor-DfIrYog,9:0-19:0,9:0-19:0,9:0-19:0,9:0-19:0,9:0-19:0,9:0-19:0,11:0-18:0
J38kYZWsoYpeXBZB37lnKQ,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,6:0-21:0
QmZLB8eTeQ3e1BnDMan9xg,7:0-1:0,7:0-1:0,7:0-1:0,7:0-1:0,7:0-1:0,7:0-1:0,7:0-1:0
LPMZ9N1sAjs2nDx7DmiZ2w,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,7:0-23:30,11:0-2:0,11:0-0:0
